Turkish Question ID,Turkish Question Text,Turkish Response Options,Turkish Show Card,English Question ID,English Question Text,English Response Options,English Show Card
Q1,"Şimdi soracaklarımdan her biri sizin için ne kadar önemlidir? Yani bunlar sizin için çok mu önemli, biraz mı önemli, pek önemli değil mi, yoksa hiç önemi yok mu? Aileniz","['Çok Önemli', 'Biraz Önemli', 'Pek Önemli Değil', 'Hiç Önemli Değil', 'Fikri Yok', 'Cevap Yok']",,Q1,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Family","['Very important', 'Rather important', 'Not very important', 'Not at all important']",
Q2,"Şimdi soracaklarımdan her biri sizin için ne kadar önemlidir? Yani bunlar sizin için çok mu önemli, biraz mı önemli, pek önemli değil mi, yoksa hiç önemi yok mu? Dost ve arkadaşlarınız","['Çok Önemli', 'Biraz Önemli', 'Pek Önemli Değil', 'Hiç Önemli Değil', 'Fikri Yok', 'Cevap Yok']",,Q2,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Friends","['Very important', 'Rather important', 'Not very important', 'Not at all important']",
Q3,"Şimdi soracaklarımdan her biri sizin için ne kadar önemlidir? Yani bunlar sizin için çok mu önemli, biraz mı önemli, pek önemli değil mi, yoksa hiç önemi yok mu? Kendiniz için ayırdığınız boş zaman","['Çok Önemli', 'Biraz Önemli', 'Pek Önemli Değil', 'Hiç Önemli Değil', 'Fikri Yok', 'Cevap Yok']",,Q3,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Leisure time","['Very important', 'Rather important', 'Not very important', 'Not at all important']",
Q4,"Şimdi soracaklarımdan her biri sizin için ne kadar önemlidir? Yani bunlar sizin için çok mu önemli, biraz mı önemli, pek önemli değil mi, yoksa hiç önemi yok mu? Siyaset","['Çok Önemli', 'Biraz Önemli', 'Pek Önemli Değil', 'Hiç Önemli Değil', 'Fikri Yok', 'Cevap Yok']",,Q4,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Politics","['Very important', 'Rather important', 'Not very important', 'Not at all important']",
Q5,"Şimdi soracaklarımdan her biri sizin için ne kadar önemlidir? Yani bunlar sizin için çok mu önemli, biraz mı önemli, pek önemli değil mi, yoksa hiç önemi yok mu? İş ve çalışma","['Çok Önemli', 'Biraz Önemli', 'Pek Önemli Değil', 'Hiç Önemli Değil', 'Fikri Yok', 'Cevap Yok']",,Q5,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Work","['Very important', 'Rather important', 'Not very important', 'Not at all important']",
Q6,"Şimdi soracaklarımdan her biri sizin için ne kadar önemlidir? Yani bunlar sizin için çok mu önemli, biraz mı önemli, pek önemli değil mi, yoksa hiç önemi yok mu? Din","['Çok Önemli', 'Biraz Önemli', 'Pek Önemli Değil', 'Hiç Önemli Değil', 'Fikri Yok', 'Cevap Yok']",,Q6,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Religion","['Very important', 'Rather important', 'Not very important', 'Not at all important']",
Q7,Şimdi size çocukların evde öğrenmelerini isteyebileceğiniz bazı hususlar sayacağım. Sizce bunlardan hangileri önem taşır. Bu tabloya bakarak LÜTFEN EN FAZLA BEŞ TANESİNİ belirtiniz. Terbiye,"['Belirtildi', 'Belirtilmedi', 'Fikri Yok', 'Cevap Yok']",,Q7,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Good manners","['Mentioned', 'Not mentioned']",
Q8,Şimdi size çocukların evde öğrenmelerini isteyebileceğiniz bazı hususlar sayacağım. Sizce bunlardan hangileri önem taşır. Bu tabloya bakarak LÜTFEN EN FAZLA BEŞ TANESİNİ belirtiniz. Bağımsızlık,"['Belirtildi', 'Belirtilmedi', 'Fikri Yok', 'Cevap Yok']",,Q8,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Independence","['Mentioned', 'Not mentioned']",
Q9,Şimdi size çocukların evde öğrenmelerini isteyebileceğiniz bazı hususlar sayacağım. Sizce bunlardan hangileri önem taşır. Bu tabloya bakarak LÜTFEN EN FAZLA BEŞ TANESİNİ belirtiniz. Çalışkanlık,"['Belirtildi', 'Belirtilmedi', 'Fikri Yok', 'Cevap Yok']",,Q9,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Hard work","['Mentioned', 'Not mentioned']",
Q10,Şimdi size çocukların evde öğrenmelerini isteyebileceğiniz bazı hususlar sayacağım. Sizce bunlardan hangileri önem taşır. Bu tabloya bakarak LÜTFEN EN FAZLA BEŞ TANESİNİ belirtiniz. Sorumluluk duygusu,"['Belirtildi', 'Belirtilmedi', 'Fikri Yok', 'Cevap Yok']",,Q10,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Feeling of responsibility","['Mentioned', 'Not mentioned']",
Q11,Şimdi size çocukların evde öğrenmelerini isteyebileceğiniz bazı hususlar sayacağım. Sizce bunlardan hangileri önem taşır. Bu tabloya bakarak LÜTFEN EN FAZLA BEŞ TANESİNİ belirtiniz. Hayalgücü,"['Belirtildi', 'Belirtilmedi', 'Fikri Yok', 'Cevap Yok']",,Q11,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Imagination","['Mentioned', 'Not mentioned']",
Q12,Şimdi size çocukların evde öğrenmelerini isteyebileceğiniz bazı hususlar sayacağım. Sizce bunlardan hangileri önem taşır. Bu tabloya bakarak LÜTFEN EN FAZLA BEŞ TANESİNİ belirtiniz. Başka insanlara karşı saygı ve hoşgörü,"['Belirtildi', 'Belirtilmedi', 'Fikri Yok', 'Cevap Yok']",,Q12,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Tolerance and respect for other people","['Mentioned', 'Not mentioned']",
Q13,"Şimdi size çocukların evde öğrenmelerini isteyebileceğiniz bazı hususlar sayacağım. Sizce bunlardan hangileri önem taşır. Bu tabloya bakarak LÜTFEN EN FAZLA BEŞ TANESİNİ belirtiniz. Tutumluluk, para ve malına özen","['Belirtildi', 'Belirtilmedi', 'Fikri Yok', 'Cevap Yok']",,Q13,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Thrift, saving money and things","['Mentioned', 'Not mentioned']",
Q14,"Şimdi size çocukların evde öğrenmelerini isteyebileceğiniz bazı hususlar sayacağım. Sizce bunlardan hangileri önem taşır. Bu tabloya bakarak LÜTFEN EN FAZLA BEŞ TANESİNİ belirtiniz. Sebat, azim, kararlılık","['Belirtildi', 'Belirtilmedi', 'Fikri Yok', 'Cevap Yok']",,Q14,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Determination, perseverance","['Mentioned', 'Not mentioned']",
Q15,Şimdi size çocukların evde öğrenmelerini isteyebileceğiniz bazı hususlar sayacağım. Sizce bunlardan hangileri önem taşır. Bu tabloya bakarak LÜTFEN EN FAZLA BEŞ TANESİNİ belirtiniz. Dindarlık,"['Belirtildi', 'Belirtilmedi', 'Fikri Yok', 'Cevap Yok']",,Q15,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Religious faith","['Mentioned', 'Not mentioned']",
